Station,Date,MaxT,MinT,RH1,RH2,Wind,Rain,SSH,Evap,Radiation,FAO56_ET,Lat,Lon,Cum_Rain
ICRISAT,1978-01-01,28.5,14.2,68,31.0,5.7,0.0,10.1,4.3,18.4,3.9,17.5084095,78.2723004,0.0
ICRISAT,1978-01-02,28.8,16.0,79,33.0,6.4,0.0,9.8,4.8,16.9,3.9,17.5084095,78.2723004,0.0
ICRISAT,1978-01-03,29.0,14.5,86,37.0,5.4,0.0,9.1,4.6,15.3,3.4,17.5084095,78.2723004,0.0
ICRISAT,1978-01-04,29.0,18.0,89,43.0,7.1,0.0,9.0,4.2,16.4,3.8,17.5084095,78.2723004,0.0
ICRISAT,1978-01-05,27.8,17.0,81,47.0,10.5,0.0,8.9,4.3,15.9,4.1,17.5084095,78.2723004,0.0
ICRISAT,1978-01-06,27.2,19.4,86,49.0,13.5,0.0,9.5,5.1,13.8,4.0,17.5084095,78.2723004,0.0
ICRISAT,1978-01-07,26.5,19.5,85,46.0,11.4,0.0,5.4,4.7,13.0,3.8,17.5084095,78.2723004,0.0
ICRISAT,1978-01-08,27.2,18.5,92,51.0,11.7,16.5,5.0,4.2,14.2,3.7,17.5084095,78.2723004,16.5
ICRISAT,1978-01-09,26.8,18.5,90,47.0,12.0,0.0,7.7,3.6,13.4,3.8,17.5084095,78.2723004,16.5
ICRISAT,1978-01-10,28.2,19.5,91,71.0,11.9,0.7,5.4,3.4,11.8,3.0,17.5084095,78.2723004,17.2
ICRISAT,1978-01-11,23.5,14.6,95,55.0,5.9,0.0,4.2,2.6,13.1,2.6,17.5084095,78.2723004,17.2
ICRISAT,1978-01-12,23.7,13.3,89,31.0,9.6,0.0,5.5,3.1,20.6,4.1,17.5084095,78.2723004,17.2
ICRISAT,1978-01-13,25.4,10.4,92,24.0,5.6,0.0,10.5,4.2,19.2,3.6,17.5084095,78.2723004,17.2
ICRISAT,1978-01-14,26.3,10.5,86,21.0,5.6,0.0,10.3,3.8,16.2,3.6,17.5084095,78.2723004,17.2
ICRISAT,1978-01-15,27.8,12.0,94,28.0,6.4,0.0,10.3,4.2,9.8,3.2,17.5084095,78.2723004,17.2
ICRISAT,1978-01-16,28.0,13.2,93,26.0,9.1,0.0,10.1,4.9,17.9,4.5,17.5084095,78.2723004,17.2
ICRISAT,1978-01-17,27.9,12.6,86,20.0,8.4,0.0,10.2,4.1,19.5,4.6,17.5084095,78.2723004,17.2
ICRISAT,1978-01-18,29.1,14.0,79,26.0,5.6,0.0,10.1,4.2,19.3,4.1,17.5084095,78.2723004,17.2
ICRISAT,1978-01-19,29.4,13.5,73,25.0,6.1,0.0,9.8,4.9,19.8,4.3,17.5084095,78.2723004,17.2
ICRISAT,1978-01-20,29.6,15.3,65,25.0,9.0,0.0,10.1,6.1,20.0,5.1,17.5084095,78.2723004,17.2
ICRISAT,1978-01-21,29.8,15.6,68,27.0,13.1,0.0,10.3,7.5,20.0,5.9,17.5084095,78.2723004,17.2
